row_id,id,address,city,state,zip
1,Lawndale Acad,3500 W Douglas Bl,Chicago,IL,
2,Joyner CPC,1315 S Blue Island Av,Chicago,IL,
3,Armour Br,911 W 32nd Pl,Chicago,IL,
4,Johnson,1420 S Albany Av,Chicago,IL,
5,Herzl,3711 W Douglas Bl,Chicago,IL,
6,Lathrop,1440 S Christiana Av,Chicago,IL,
7,Plamondon,2642 W 15th Pl,Chicago,IL,
8,Hughes CE,4247 W 15th St,Chicago,IL,
9,Pilsen Community Acad,1420 W 17th St,Chicago,IL,
10,Jungman,1746 S Miller St,Chicago,IL,
11,Howland,1616 S Spaulding Av,Chicago,IL,
12,Dvorak Acad,3615 W 16th St,Chicago,IL,
13,Penn,1616 S Avers Av,Chicago,IL,
14,Mason,4217 W 18th St,Chicago,IL,
15,Cooper,1624 W 19th St,Chicago,IL,
16,Pope,1852 S Albany Av,Chicago,IL,
17,Perez,1241 W 19th St,Chicago,IL,
18,Juarez H S,2150 S Laflin St,Chicago,IL,
19,Pickard,2301 W 21st Pl,Chicago,IL,
20,De La Cruz,2317 W 23rd Pl,Chicago,IL,
21,Telpochalli,2832 W 24th Bl,Chicago,IL,
22,Cardenas,2345 S Millard Av,Chicago,IL,
23,Ruiz,2410 S Leavitt St,Chicago,IL,
24,Castellanos School,2524 S Central Park Av,Chicago,IL,
25,Corkery,2510 S Kildare Av,Chicago,IL,
26,Drake,2722 S Dr Martin Luther King Jr Dr,Chicago,IL,
27,Williams,2710 S Dearborn St,Chicago,IL,
28,Gary,3740 W 31st St,Chicago,IL,
29,Graham,4436 S Union Av,Chicago,IL,
30,Gunsaulus Acad,4420 S Sacramento Av,Chicago,IL,
31,Lara Acad,4619 S Wolcott Av,Chicago,IL,
32,Beethoven,25 W 47th St,Chicago,IL,
33,Hearst,4640 S Lamon Av,Chicago,IL,
34,Hamline,4747 S Bishop St,Chicago,IL,
35,Chavez,4747 S Marshfield Av,Chicago,IL,
36,Hedges,4735 S Winchester Av,Chicago,IL,
37,Overton,221 E 49th St,Chicago,IL,
38,DuSable HS,4934 S Wabash Av,Chicago,IL,
39,Edwards,4815 S Karlov Av,Chicago,IL,
40,Canter Middle,4959 S Blackstone Av,Chicago,IL,
41,Reavis,834 E 50th St,Chicago,IL,
42,Kenwood Acad HS,5015 S Blackstone Av,Chicago,IL,
43,Big Picture at Chavez,4946 S Paulina St,Chicago,IL,
44,Richards HS,5009 S Laflin St,Chicago,IL,
45,Curie HS,4959 S Archer Av,Chicago,IL,
46,Daley Acad,5024 S Wolcott Av,Chicago,IL,
47,Christopher,5042 S Artesian Av,Chicago,IL,
48,Dyett Middle,555 E 51st St,Chicago,IL,
49,Parkman,245 W 51st St,Chicago,IL,
50,Beasley,5255 S State St,Chicago,IL,
51,Murray Language Acad,5335 S Kenwood Av,Chicago,IL,
52,Kozminski Com Acad,936 E 54th St,Chicago,IL,
53,Nightingale,5250 S Rockwell St,Chicago,IL,
54,St Helen,2347 W Augusta Bl,Chicago,IL,
55,St Nicholas Ukrainian,2200 W Rice St,Chicago,IL,
56,Burke,5356 S Dr Martin Luther King Jr Dr,Chicago,IL,
57,Sawyer,5248 S Sawyer Av,Chicago,IL,
58,Cardenas Modular,2406 S Central Park Av,Chicago,IL,
59,Libby,5300 S Loomis Bl,Chicago,IL,
60,Fulton,5300 S Hermitage Av,Chicago,IL,
61,Dewey,5415 S Union Av,Chicago,IL,
62,Byrne,5329 S Oak Park Av,Chicago,IL,
63,Mays Acad,1800 W Garfield Bl,Chicago,IL,
64,Harte,1556 E 56th St,Chicago,IL,
65,Hope College Prep,5515 S Lowe Av,Chicago,IL,
66,Holmes,955 W Garfield Bl,Chicago,IL,
67,Carson,5516 S Maplewood Av,Chicago,IL,
68,Sandoval School,5534 S St Louis Av,Chicago,IL,
69,Gage Park HS,5630 S Rockwell St,Chicago,IL,
70,Henderson,5650 S Wolcott Av,Chicago,IL,
71,Carter,5740 S Michigan Av,Chicago,IL,
72,Kennedy HS,6325 W 56th St,Chicago,IL,
73,Bontemps,1241 W 58th St,Chicago,IL,
74,Peck,3826 W 58th St,Chicago,IL,
75,Lindblom Tech HS,6130 S Wolcott Av,Chicago,IL,
76,Englewood HS,6201 S Stewart Av,Chicago,IL,
77,Goodlow Magnet,2040 W 62nd St,Chicago,IL,
78,Fairfield Academy,6201 S Fairfield Av,Chicago,IL,
79,Dulles,6311 S Calumet Av,Chicago,IL,
80,Dore,6108 S Natoma Av,Chicago,IL,
81,Hale,6140 S Melvina Av,Chicago,IL,
82,Hubbard HS,6200 S Hamlin Av,Chicago,IL,
83,Reed,6350 S Stewart Av,Chicago,IL,
84,Anderson Community Acad,6315 S Claremont Av,Chicago,IL,
85,Kershaw,6450 S Lowe Av,Chicago,IL,
86,McCosh,6543 S Champlain Av,Chicago,IL,
87,Blair,6751 W 63rd Pl,Chicago,IL,
88,Harper HS,6520 S Wood St,Chicago,IL,
89,Bunche,6515 S Ashland Av,Chicago,IL,
90,Lee,6448 S Tripp Av,Chicago,IL,
91,Grimes,5450 W 64th Pl,Chicago,IL,
92,Marquette West,6550 S Richmond St,Chicago,IL,
93,O'Toole,6550 S Seeley Av,Chicago,IL,
94,Eberhart,3400 W 65th Pl,Chicago,IL,
95,Dumas,6650 S Ellis Av,Chicago,IL,
96,Banneker,6656 S Normal Bl,Chicago,IL,
97,MAYS,838 W Marquette Rd,Chicago,IL,
98,Brownell,6741 S Michigan Av,Chicago,IL,
99,Davies Acad,6723 S Wood St,Chicago,IL,
100,Robeson,6835 S Normal Blvd,Chicago,IL,
101,Parkside Acad,6938 S East End Av,Chicago,IL,
102,Okeeffe,6940 S Merrill Av,Chicago,IL,
103,Fermi,1415 E 70th St,Chicago,IL,
104,McKay,6901 S Fairfield Av,Chicago,IL,
105,Johns Acad,6936 S Hermitage Av,Chicago,IL,
106,Park Manor,7037 S Rhodes Av,Chicago,IL,
107,Hurley,3849 W 69th Pl,Chicago,IL,
108,Bond,7050 S May St,Chicago,IL,
109,Hinton,644 W 71st St,Chicago,IL,
110,Altgeld,1340 W 71st St,Chicago,IL,
111,Revere,1010 E 72nd St,Chicago,IL,
112,Guggenheim,7141 S Morgan St,Chicago,IL,
113,Deneen,7240 S Wabash Av,Chicago,IL,
114,Bouchet Alexander,7355 S Jeffery Bl,Chicago,IL,
115,Tanner,7350 S Evans Av,Chicago,IL,
116,Randolph Magnet,7316 S Hoyne Av,Chicago,IL,
117,Powell,7530 S South Shore Dr,Chicago,IL,
118,Madison,7433 S Dorchester Av,Chicago,IL,
119,Harvard,7525 S Harvard Av,Chicago,IL,
120,Bradwell,7736 S Burnham Av,Chicago,IL,
121,Hirsch Metro HS,7740 S Ingleside Av,Chicago,IL,
122,Oglesby,7646 S Green St,Chicago,IL,
123,Barton,7650 S Wolcott Av,Chicago,IL,
124,Ruggles,7831 S Prairie Av,Chicago,IL,
125,Joplin,7931 S Honore St,Chicago,IL,
126,Mann,8050 S Chappel Av,Chicago,IL,
127,Avalon Park,8045 S Kenwood Av,Chicago,IL,
128,Bogan Tech HS,3939 W 79th St,Chicago,IL,
129,Lenart,8101 S La Salle St,Chicago,IL,
130,Stevenson,8010 S Kostner Av,Chicago,IL,
131,Calumet HS,8131 S May St,Chicago,IL,
132,Cook,8150 S Bishop St,Chicago,IL,
133,Dawes,3810 W 81st Pl,Chicago,IL,
134,Heroes Magnet,8344 S Commercial Av,Chicago,IL,
135,Dixon,8306 S St Lawrence Av,Chicago,IL,
136,Las Casas,8401 S Saginaw Av,Chicago,IL,
137,Owen,8247 S Christiana Av,Chicago,IL,
138,Coles,8441 S Yates Bl,Chicago,IL,
139,Carroll,2929 W 83rd St,Chicago,IL,
140,Ashburn,8300 S St Louis Av,Chicago,IL,
141,Morgan,8407 S Kerfoot Av,Chicago,IL,
142,Pirie,650 E 85th St,Chicago,IL,
143,Ashe,8505 S Ingleside Av,Chicago,IL,
144,Chicago Vocational HS,2100 E 87th St,Chicago,IL,
145,Neil,8555 S Michigan Av,Chicago,IL,
146,Von Humboldt CPC,1345 N Rockwell St,Chicago,IL,
147,Daystar School,800 S Wells St,Chicago,IL,
148,Lozano Annex,1501 N Greenview Av,Chicago,IL,
149,Caldwell,8546 S Cregier Av,Chicago,IL,
150,Gresham,8524 S Green St,Chicago,IL,
151,Durkin Park,8445 S Kolin Av,Chicago,IL,
152,Foster Park,8530 S Wood St,Chicago,IL,
153,Bowen,2710 E 89th St,Chicago,IL,
154,Ryder,8716 S Wallace St,Chicago,IL,
155,McDade Classical,8801 S Indiana Av,Chicago,IL,
156,Jackson Mahalia,917 W 88th St,Chicago,IL,
157,Hoyne,8905 S Crandon Av,Chicago,IL,
158,McDowell,1419 E 89th St,Chicago,IL,
159,Mireles Acad,9000 S Exchange Av,Chicago,IL,
160,Fort Dearborn,9025 S Throop St,Chicago,IL,
161,Davies Development Center,9101 S Jeffery Av,Chicago,IL,
162,Black Magnet,9101 S Euclid Av,Chicago,IL,
163,Burnside Acad,650 E 91st Pl,Chicago,IL,
164,Buckingham,9207 S Phillips Av,Chicago,IL,
165,Earhart,1710 E 93rd St,Chicago,IL,
166,Gillespie,9301 S State St,Chicago,IL,
167,Kellogg,9241 S Leavitt St,Chicago,IL,
168,Kipling,9351 S Lowe Av,Chicago,IL,
169,Chicago International-Longwood,1309 W 95th St,Chicago,IL,
170,Burham Acad,1903 E 96th St,Chicago,IL,
171,Wheatley CPC,902 E 133rd Pl,Chicago,IL,
172,Tonti Br,4950 S Laporte Av,Chicago,IL,
173,Chicago International-Prairie,11530 S Prairie Av,Chicago,IL,
174,Higgins Acad,11710 S Morgan St,Chicago,IL,
175,Gompers,12302 S State St,Chicago,IL,
176,Metcalfe Acad,12339 S Normal Av,Chicago,IL,
177,Owens Acad,12450 S State St,Chicago,IL,
178,Grissom Acad,12810 S Escanaba Av,Chicago,IL,
179,Aldridge,630 E 131st St,Chicago,IL,
180,Carver HS,13100 S Carver Dr,Chicago,IL,
181,Clay,13231 S Burley Av,Chicago,IL,
182,DuBois,330 E 133rd St,Chicago,IL,
183,Carver Primary,901 E 133rd Pl,Chicago,IL,
184,Carver Middle,801 E 133rd Pl,Chicago,IL,
185,Bethesda Lutheran,6803 N Campbell Av,Chicago,IL,
186,Queen of All Saints,6230 N Lemont Av,Chicago,IL,
187,Bricktown Montessori,8622 W Catalpa Av,Chicago,IL,
188,St Mary of the Lake,1026 W Buena Av,Chicago,IL,
189,St Benedict,3920 N Leavitt St,Chicago,IL,
190,Schurz HS,3601 N Milwaukee Av,Chicago,IL,
191,St Hyacinth,3640 W Wolfram St,Chicago,IL,
192,Wadsworth,6420 S University Av,Chicago,IL,
193,Whitney Young HS,211 S Laflin St,Chicago,IL,
194,Rush Day School,1720 W Polk St,Chicago,IL,
195,Holy Trinity Shool,1900 W Taylor St,Chicago,IL,
196,Webster,4055 W Arthington St,Chicago,IL,
197,St Ignatius Prep HS,1076 W Roosevelt Rd,Chicago,IL,
198,Chicago Lighthouse,1850 W Roosevelt Rd,Chicago,IL,
199,South Loop,1212 S Plymouth Ct,Chicago,IL,
200,Smyth,1059 W 13th St,Chicago,IL,
201,Comm Christian Alt Acad,1231 S Pulaski Rd,Chicago,IL,
202,Simpson HS,1321 S Paulina St,Chicago,IL,
203,Chicago WS Christian,1241 S Pulaski Rd,Chicago,IL,
204,St Agatha 1,3151 W Douglas Bl,Chicago,IL,
205,St Procopius,1625 S Allport St,Chicago,IL,
206,St Ann,2211 W 18th Pl,Chicago,IL,
207,St Pius V,1919 S Ashland Av,Chicago,IL,
208,Walsh,2031 S Peoria St,Chicago,IL,
209,Our Lady of Lourdes,2130 S Central Park Av,Chicago,IL,
210,St Therese,247 W 23rd St,Chicago,IL,
211,Our Lady of Tepeyac HS,2228 S Whipple St,Chicago,IL,
212,Whittier,1900 W 23rd St,Chicago,IL,
213,Our Lady of Tepeyac,2235 S Albany Av,Chicago,IL,
214,Spry,2400 S Marshall Bl,Chicago,IL,
215,Epiphany,4223 W 25th St,Chicago,IL,
216,Sheridan Magnet,533 W 27th St,Chicago,IL,
217,Ward James,2701 S Shields Av,Chicago,IL,
218,St Jerome,2801 S Princeton Av,Chicago,IL,
219,Zapata Acad,2728 S Kostner Av,Chicago,IL,
220,Grace Lutheran,4106 W 28th St,Chicago,IL,
221,Whitney,2815 S Komensky Av,Chicago,IL,
222,Santa Lucia,3017 S Wells St,Chicago,IL,
223,Christ the King Lutheran,3701 S Lake Park Av,Chicago,IL,
224,Greene Branch,3625 S Hoyne Av,Chicago,IL,
225,St Andrew Lutheran,3659 S Honore St,Chicago,IL,
226,Bridgeport Catholic 3,3700 S Lowe Av,Chicago,IL,
227,McCutcheon Br,4850 N Kenmore Av,Chicago,IL,
228,Olive Harvey Middle,10001 S Woodlawn Av,Chicago,IL,
229,St Elizabeth,4052 S Wabash Av,Chicago,IL,
230,Shields,4250 S Rockwell St,Chicago,IL,
231,Woodson North,4414 S Evans Av,Chicago,IL,
232,Holy Martyrs,4325 S Richmond St,Chicago,IL,
233,St Gabriel,4500 S Wallace St,Chicago,IL,
234,Seward,4600 S Hermitage Av,Chicago,IL,
235,Harvard School,4731 S Ellis Av,Chicago,IL,
236,Ancona School,4770 S Dorchester Av,Chicago,IL,
237,Childrens House at Harper,4800 S Lake Park Av,Chicago,IL,
238,Tilden HS,4747 S Union Av,Chicago,IL,
239,Chicago Mennonite Center,4647 W 47th St,Chicago,IL,
240,San Miguel School,1949 W 48th St,Chicago,IL,
241,Hales Franciscan HS,4930 S Cottage Grove Av,Chicago,IL,
242,Shoesmith,1330 E 50th St,Chicago,IL,
243,Our Lady Of the Snows,4810 S Leamington Av,Chicago,IL,
244,St Richard,5025 S Kenneth Av,Chicago,IL,
245,Sherman,1000 W 52nd St,Chicago,IL,
246,Twain,5131 S Linder Av,Chicago,IL,
247,St Jane de Chantal,5201 S Mc Vicker Av,Chicago,IL,
248,St Thomas the Apostle,5467 S Woodlawn Av,Chicago,IL,
249,South Central Community Services,7550 S Phillips Av,Chicago,IL,
250,St Paul Lutheran 3,7621 S Dorchester Av,Chicago,IL,
251,St Dorothy,7740 S Eberhart Av,Chicago,IL,
252,Shabazz Charter,7823 S Ellis Av,Chicago,IL,
253,St Rita HS,7740 S Western Av,Chicago,IL,
254,St Sabina,7801 S Throop St,Chicago,IL,
255,Leo HS,7901 S Sangamon St,Chicago,IL,
256,Rescue Missionary School,7956 S Dr Martin Luther King Jr Dr,Chicago,IL,
257,Liberty Temple Acad,2255 W 79th St,Chicago,IL,
258,Westcott,409 W 80th St,Chicago,IL,
259,Marva Collins Prep School,8035 S Honore St,Chicago,IL,
260,St Micheal,8231 S South Shore Dr,Chicago,IL,
261,South Chicago Community,8255 S Houston Av,Chicago,IL,
262,Simeon,8235 S Vincennes Av,Chicago,IL,
263,St Thomas Moore,8130 S California Av,Chicago,IL,
264,St Felicitas,1501 E 83rd Pl,Chicago,IL,
265,Timothy Lutheran School,1700 W 83rd St,Chicago,IL,
266,Emmanuel Christian School,8301 S Damen Av,Chicago,IL,
267,Ashburn Lutheran School,3345 W 83rd St,Chicago,IL,
268,McKinley Highland Center,8422 S Damen Av,Chicago,IL,
269,L H Day Lower School,1720 W 87th St,Chicago,IL,
270,Mckinley School East,2647 E 88th St,Chicago,IL,
271,Luther HS South,3130 W 87th St,Chicago,IL,
272,Thorp JN,8914 S Buffalo Av,Chicago,IL,
273,Our Lady of Guadalupe,9050 S Burley Av,Chicago,IL,
274,Washington Harold,9130 S University Av,Chicago,IL,
275,Evangelical Christian School,9130 S Vincennes Av,Chicago,IL,
276,Warren,9239 S Jeffery Av,Chicago,IL,
277,Turner Drew Lang,9300 S Princeton Av,Chicago,IL,
278,Christ the King,9240 S Hoyne Av,Chicago,IL,
279,Resurrection Lutheran School,9349 S Wentworth Av,Chicago,IL,
280,Beverly Hills SDA School,9356 S Justine St,Chicago,IL,
281,Fellowship Christian Acad,1925 E 95th St,Chicago,IL,
282,Oakdale Christian Acad,9440 S Vincennes Av,Chicago,IL,
283,Vanderpoel Magnet,9510 S Prospect Av,Chicago,IL,
284,Schmid,9755 S Greenwood Av,Chicago,IL,
285,Wacker,9746 S Morgan St,Chicago,IL,
286,Our Lady Gate of Heaven,2330 E 99th St,Chicago,IL,
287,Small Stride Acad,10317 S Western Av,Chicago,IL,
288,Park Vernon Acad,337 E 107th St,Chicago,IL,
289,Wadsworth CPC,6407 S Blackstone Av,Chicago,IL,
290,Dumas CPC,6615 S Kenwood Av,Chicago,IL,
291,Bouchet Alexander Annex,7401 S Chappel Av,Chicago,IL,
292,Rosenwald,2541 W 80th St,Chicago,IL,
293,St Priscilla,7001 W Addison St,Chicago,IL,
294,Brown Acad,12607 S Union Av,Chicago,IL,
295,"Brown, William",54 N Hermitage Av,Chicago,IL,
296,L.E.A.R.N. Charter School,1132 S Homan Ave,Chicago,IL,
297,Agape Love Academy,8959 S BEVERLY AVE,Chicago,IL,
298,C A L A - WEST?,3814 W IOWA ST,Chicago,IL,
299,CORNERSTONE ACADEMY?,1111 N WELLS ST,Chicago,IL,
300,LINC ALT HIGH SCHOOL,125 N CLARK ST,Chicago,IL,
301,Green Wendell,1150 W 96th St,Chicago,IL,
302,Harlan HS,9652 S Michigan Av,Chicago,IL,
303,Marsh,9810 S Exchange Av,Chicago,IL,
304,Taylor,9912 S Avenue H,Chicago,IL,
305,Evers,9811 S Lowe Av,Chicago,IL,
306,Lawrence,9928 S Crandon Av,Chicago,IL,
307,Corliss HS,821 E 103rd St,Chicago,IL,
308,Garvey Marcus,10309 S Morgan St,Chicago,IL,
309,Julian HS,10330 S Elizabeth St,Chicago,IL,
310,Hughes L,226 W 104th St,Chicago,IL,
311,Barnard,10354 S Charles St,Chicago,IL,
312,Kohn,10414 S State St,Chicago,IL,
313,Poe Classical,10538 S Langley Av,Chicago,IL,
314,Mt Vernon,10540 S Morgan St,Chicago,IL,
315,Bright Branch,10740 S Calhoun Av,Chicago,IL,
316,Cullen,10650 S Eberhart Av,Chicago,IL,
317,Addams,10810 S Avenue H,Chicago,IL,
318,Keller Magnet,3020 W 108th St,Chicago,IL,
319,Lavizzo Elm,138 W 109th St,Chicago,IL,
320,Dunne,10845 S Union Av,Chicago,IL,
321,Mt Greenwood,10841 S Homan Av,Chicago,IL,
322,Brooks College Prep,250 E 111th St,Chicago,IL,
323,Clissold,2350 W 110th Pl,Chicago,IL,
324,Morgan Park HS,1744 W Pryor Av,Chicago,IL,
325,Chicago Agricultural HS,3807 W 111th St,Chicago,IL,
326,Fenger HS,11220 S Wallace St,Chicago,IL,
327,Esmond,1865 W Montvale Av,Chicago,IL,
328,Pullman,11311 S Forrestville Av,Chicago,IL,
329,Cassell,11314 S Spaulding Av,Chicago,IL,
330,Haley,11411 S Eggleston Av,Chicago,IL,
331,Curtis,32 E 115th St,Chicago,IL,
332,Marist HS,4200 W 115th St,Chicago,IL,
333,Whistler,11533 S Ada St,Chicago,IL,
334,Songhai,11725 S Perry Av,Chicago,IL,
335,St Walter,11741 S Western Av,Chicago,IL,
336,Salem Christian Acad,11816 S Indiana Av,Chicago,IL,
337,West Pullman,11941 S Parnell Av,Chicago,IL,
338,White,1136 W 122nd St,Chicago,IL,
339,St Florian,13110 S Baltimore Av,Chicago,IL,
340,Our Lady of the Gardens,13300 S Langley Av,Chicago,IL,
341,Goldsmith Elementary,10211 S Crandon Av,Chicago,IL,
342,Gallistel,10200 S Avenue J,Chicago,IL,
343,Al Raby,3545 W Fulton Ave,Chicago,IL,
344,Shedd Branch,200 E 99th St,Chicago,IL,
345,Gloria Dei Lutheran,5259 S Major Av,Chicago,IL,
346,Mount Carmel HS,6410 S Dante Av,Chicago,IL,
347,St Mary Star of the Sea,6424 S Kenneth Av,Chicago,IL,
348,Maria HS,6727 S California Av,Chicago,IL,
349,Nativity BVM,6820 S Washtenaw Av,Chicago,IL,
350,Chicago Urban Day School,1248 W 69th St,Chicago,IL,
351,Wentworth,6950 S Sangamon St,Chicago,IL,
352,Chicago SDA Acad,7008 S Michigan Av,Chicago,IL,
353,Yale,7025 S Princeton Av,Chicago,IL,
354,Faulkner School,7110 S Coles Av,Chicago,IL,
355,St Philip Neri,2110 E 72nd St,Chicago,IL,
356,St Columbanus School,7120 S Calumet Av,Chicago,IL,
357,Queen of the Universe,7130 S Hamlin Av,Chicago,IL,
358,Sullivan House School,7305 S Clyde Av,Chicago,IL,
359,West Englewood Christian Community,7326 S Racine Av,Chicago,IL,
360,Southside Acad,7342 S Hoyne Av,Chicago,IL,
361,Stagg,7424 S Morgan St,Chicago,IL,
362,MauGlo Day Care Special Ed,2357 E 75th St,Chicago,IL,
363,South Shore HS,7529 S Constance Av,Chicago,IL,
364,Roseland Christian,314 W 108th St,Chicago,IL,
